code,sheet,recording_folder,representative_image,image_path,label_table,labeled_keypoints,selection
F012,1,20231013_B8_long-anes_awake_100_TR_12-01-00,img00462.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B8_long-anes_awake_100_TR_12-01-00/img00462.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B8_long-anes_awake_100_TR_12-01-00/CollectedData_houlab.h5,10,most completely labeled frame in folder
F013,1,20231019_B15_long-anes_awake_000_L_14-35-11,img24528.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231019_B15_long-anes_awake_000_L_14-35-11/img24528.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231019_B15_long-anes_awake_000_L_14-35-11/CollectedData_houlab.h5,17,most completely labeled frame in folder
F014,1,20231019_B15_long-anes_awake_000_R_14-35-11,img14612.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231019_B15_long-anes_awake_000_R_14-35-11/img14612.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231019_B15_long-anes_awake_000_R_14-35-11/CollectedData_houlab.h5,16,most completely labeled frame in folder
F015,1,20231019_B15_long-anes_awake_000_TC_14-35-11,img02476.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231019_B15_long-anes_awake_000_TC_14-35-11/img02476.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231019_B15_long-anes_awake_000_TC_14-35-11/CollectedData_houlab.h5,10,most completely labeled frame in folder
F016,1,20231019_B15_long-anes_awake_000_TL_14-35-11,img02468.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231019_B15_long-anes_awake_000_TL_14-35-11/img02468.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231019_B15_long-anes_awake_000_TL_14-35-11/CollectedData_houlab.h5,9,most completely labeled frame in folder
F017,1,20231019_B15_long-anes_awake_000_TR_14-35-11,img14629.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231019_B15_long-anes_awake_000_TR_14-35-11/img14629.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231019_B15_long-anes_awake_000_TR_14-35-11/CollectedData_houlab.h5,10,most completely labeled frame in folder
F018,1,20231031_B6-B20-B21-B26-B31-B32-B33_chew_rig2_concat_BC,im10039.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231031_B6-B20-B21-B26-B31-B32-B33_chew_rig2_concat_BC/im10039.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231031_B6-B20-B21-B26-B31-B32-B33_chew_rig2_concat_BC/CollectedData_houlab.h5,11,most completely labeled frame in folder
F019,1,20231031_B6-B20-B21-B26-B31-B32-B33_chew_rig2_concat_L,im10039.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231031_B6-B20-B21-B26-B31-B32-B33_chew_rig2_concat_L/im10039.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231031_B6-B20-B21-B26-B31-B32-B33_chew_rig2_concat_L/CollectedData_houlab.h5,17,most completely labeled frame in folder
F020,1,20231031_B6-B20-B21-B26-B31-B32-B33_chew_rig2_concat_R,im10039.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231031_B6-B20-B21-B26-B31-B32-B33_chew_rig2_concat_R/im10039.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231031_B6-B20-B21-B26-B31-B32-B33_chew_rig2_concat_R/CollectedData_houlab.h5,17,most completely labeled frame in folder
F021,1,20231031_B6-B20-B21-B26-B31-B32-B33_chew_rig2_concat_TC,img005384.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231031_B6-B20-B21-B26-B31-B32-B33_chew_rig2_concat_TC/img005384.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231031_B6-B20-B21-B26-B31-B32-B33_chew_rig2_concat_TC/CollectedData_houlab.h5,10,most completely labeled frame in folder
F022,1,20231031_B6-B20-B21-B26-B31-B32-B33_chew_rig2_concat_TL,img011973.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231031_B6-B20-B21-B26-B31-B32-B33_chew_rig2_concat_TL/img011973.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231031_B6-B20-B21-B26-B31-B32-B33_chew_rig2_concat_TL/CollectedData_houlab.h5,12,most completely labeled frame in folder
F023,1,20231031_B6-B20-B21-B26-B31-B32-B33_chew_rig2_concat_TR,img012511.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231031_B6-B20-B21-B26-B31-B32-B33_chew_rig2_concat_TR/img012511.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231031_B6-B20-B21-B26-B31-B32-B33_chew_rig2_concat_TR/CollectedData_houlab.h5,12,most completely labeled frame in folder
F024,1,20231031_chew_record_BC,im10039.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231031_chew_record_BC/im10039.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231031_chew_record_BC/CollectedData_houlab.h5,11,most completely labeled frame in folder
F025,1,20231031_chew_record_L,im10039.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231031_chew_record_L/im10039.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231031_chew_record_L/CollectedData_houlab.h5,17,most completely labeled frame in folder
F026,1,20231031_chew_record_R,im10039.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231031_chew_record_R/im10039.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231031_chew_record_R/CollectedData_houlab.h5,17,most completely labeled frame in folder
F027,1,20231031_chew_record_TC,img005384.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231031_chew_record_TC/img005384.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231031_chew_record_TC/CollectedData_houlab.h5,10,most completely labeled frame in folder
F028,1,20231031_chew_record_TL,img011973.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231031_chew_record_TL/img011973.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231031_chew_record_TL/CollectedData_houlab.h5,11,most completely labeled frame in folder
F029,1,20231031_chew_record_TR,img012511.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231031_chew_record_TR/img012511.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231031_chew_record_TR/CollectedData_houlab.h5,11,most completely labeled frame in folder
F030,1,20231102_B21_3D-structure_awake_000_BC_10-51-06,img01014.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231102_B21_3D-structure_awake_000_BC_10-51-06/img01014.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231102_B21_3D-structure_awake_000_BC_10-51-06/CollectedData_houlab.h5,9,most completely labeled frame in folder
F031,1,20231102_B21_3D-structure_awake_000_L_10-51-06,img04737.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231102_B21_3D-structure_awake_000_L_10-51-06/img04737.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231102_B21_3D-structure_awake_000_L_10-51-06/CollectedData_houlab.h5,16,most completely labeled frame in folder
F032,1,20231102_B21_3D-structure_awake_000_R_10-51-06,img05216.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231102_B21_3D-structure_awake_000_R_10-51-06/img05216.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231102_B21_3D-structure_awake_000_R_10-51-06/CollectedData_houlab.h5,16,most completely labeled frame in folder
F033,1,20231102_B21_3D-structure_awake_000_TC_10-51-06,img02605.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231102_B21_3D-structure_awake_000_TC_10-51-06/img02605.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231102_B21_3D-structure_awake_000_TC_10-51-06/CollectedData_houlab.h5,10,most completely labeled frame in folder
F034,1,20231102_B21_3D-structure_awake_000_TR_10-51-06,img06747.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231102_B21_3D-structure_awake_000_TR_10-51-06/img06747.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231102_B21_3D-structure_awake_000_TR_10-51-06/CollectedData_houlab.h5,9,most completely labeled frame in folder
F035,1,20231102_B6-B15-B20-B21-B26-B31-B32-B33_3D-structure_rig2_concat_BC,img003572.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231102_B6-B15-B20-B21-B26-B31-B32-B33_3D-structure_rig2_concat_BC/img003572.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231102_B6-B15-B20-B21-B26-B31-B32-B33_3D-structure_rig2_concat_BC/CollectedData_houlab.h5,11,most completely labeled frame in folder
F036,1,20231102_B6-B15-B20-B21-B26-B31-B32-B33_3D-structure_rig2_concat_L,img001236.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231102_B6-B15-B20-B21-B26-B31-B32-B33_3D-structure_rig2_concat_L/img001236.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231102_B6-B15-B20-B21-B26-B31-B32-B33_3D-structure_rig2_concat_L/CollectedData_houlab.h5,17,most completely labeled frame in folder
F037,1,20231102_B6-B15-B20-B21-B26-B31-B32-B33_3D-structure_rig2_concat_R,img005829.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231102_B6-B15-B20-B21-B26-B31-B32-B33_3D-structure_rig2_concat_R/img005829.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231102_B6-B15-B20-B21-B26-B31-B32-B33_3D-structure_rig2_concat_R/CollectedData_houlab.h5,17,most completely labeled frame in folder
F038,1,20231102_B6-B15-B20-B21-B26-B31-B32-B33_3D-structure_rig2_concat_TC,img003199.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231102_B6-B15-B20-B21-B26-B31-B32-B33_3D-structure_rig2_concat_TC/img003199.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231102_B6-B15-B20-B21-B26-B31-B32-B33_3D-structure_rig2_concat_TC/CollectedData_houlab.h5,10,most completely labeled frame in folder
F039,1,20231102_B6-B15-B20-B21-B26-B31-B32-B33_3D-structure_rig2_concat_TL,img003113.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231102_B6-B15-B20-B21-B26-B31-B32-B33_3D-structure_rig2_concat_TL/img003113.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231102_B6-B15-B20-B21-B26-B31-B32-B33_3D-structure_rig2_concat_TL/CollectedData_houlab.h5,14,most completely labeled frame in folder
F040,1,20231102_B6-B15-B20-B21-B26-B31-B32-B33_3D-structure_rig2_concat_TR,img009850.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231102_B6-B15-B20-B21-B26-B31-B32-B33_3D-structure_rig2_concat_TR/img009850.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231102_B6-B15-B20-B21-B26-B31-B32-B33_3D-structure_rig2_concat_TR/CollectedData_houlab.h5,13,most completely labeled frame in folder
F041,1,20231102_B6-B15-B20-B21-B26-B31-B32-B33_3D-structure_rig3_concat_L,img004839.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231102_B6-B15-B20-B21-B26-B31-B32-B33_3D-structure_rig3_concat_L/img004839.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231102_B6-B15-B20-B21-B26-B31-B32-B33_3D-structure_rig3_concat_L/CollectedData_houlab.h5,17,most completely labeled frame in folder
F042,1,20231102_B6-B15-B20-B21-B26-B31-B32-B33_3D-structure_rig3_concat_R,img009384.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231102_B6-B15-B20-B21-B26-B31-B32-B33_3D-structure_rig3_concat_R/img009384.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231102_B6-B15-B20-B21-B26-B31-B32-B33_3D-structure_rig3_concat_R/CollectedData_houlab.h5,17,most completely labeled frame in folder
F043,1,20231102_B6-B15-B20-B21-B26-B31-B32-B33_3D-structure_rig3_concat_TL,img002088.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231102_B6-B15-B20-B21-B26-B31-B32-B33_3D-structure_rig3_concat_TL/img002088.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231102_B6-B15-B20-B21-B26-B31-B32-B33_3D-structure_rig3_concat_TL/CollectedData_houlab.h5,13,most completely labeled frame in folder
F044,1,20231102_B6-B15-B20-B21-B26-B31-B32-B33_3D-structure_rig3_concat_TR,img002668.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231102_B6-B15-B20-B21-B26-B31-B32-B33_3D-structure_rig3_concat_TR/img002668.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231102_B6-B15-B20-B21-B26-B31-B32-B33_3D-structure_rig3_concat_TR/CollectedData_houlab.h5,13,most completely labeled frame in folder
F045,1,20231213_B33_long-anes_awake_000_BC_11-57-52,img06952.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231213_B33_long-anes_awake_000_BC_11-57-52/img06952.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231213_B33_long-anes_awake_000_BC_11-57-52/CollectedData_houlab.h5,9,most completely labeled frame in folder
F046,1,20231213_B33_long-anes_awake_000_L_11-57-52,img05218.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231213_B33_long-anes_awake_000_L_11-57-52/img05218.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231213_B33_long-anes_awake_000_L_11-57-52/CollectedData_houlab.h5,17,most completely labeled frame in folder
F047,1,20231213_B33_long-anes_awake_000_R_11-57-52,img21327.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231213_B33_long-anes_awake_000_R_11-57-52/img21327.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231213_B33_long-anes_awake_000_R_11-57-52/CollectedData_houlab.h5,17,most completely labeled frame in folder
F048,1,20231213_B33_long-anes_awake_000_TC_11-57-52,img02269.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231213_B33_long-anes_awake_000_TC_11-57-52/img02269.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231213_B33_long-anes_awake_000_TC_11-57-52/CollectedData_houlab.h5,10,most completely labeled frame in folder
F049,1,20231213_B33_long-anes_awake_000_TL_11-57-52,img05685.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231213_B33_long-anes_awake_000_TL_11-57-52/img05685.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231213_B33_long-anes_awake_000_TL_11-57-52/CollectedData_houlab.h5,12,most completely labeled frame in folder
F050,1,20231213_B33_long-anes_awake_000_TR_11-57-52,img06320.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231213_B33_long-anes_awake_000_TR_11-57-52/img06320.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231213_B33_long-anes_awake_000_TR_11-57-52/CollectedData_houlab.h5,11,most completely labeled frame in folder
F051,1,20231214_B20_long-anes_awake_000_BC_13-08-57,img01730.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231214_B20_long-anes_awake_000_BC_13-08-57/img01730.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231214_B20_long-anes_awake_000_BC_13-08-57/CollectedData_houlab.h5,9,most completely labeled frame in folder
F052,1,20231214_B20_long-anes_awake_000_L_13-08-57,img01730.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231214_B20_long-anes_awake_000_L_13-08-57/img01730.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231214_B20_long-anes_awake_000_L_13-08-57/CollectedData_houlab.h5,17,most completely labeled frame in folder
F053,1,20231214_B20_long-anes_awake_000_R_13-08-57,img13787.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231214_B20_long-anes_awake_000_R_13-08-57/img13787.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231214_B20_long-anes_awake_000_R_13-08-57/CollectedData_houlab.h5,16,most completely labeled frame in folder
F054,1,20231214_B20_long-anes_awake_000_TC_13-08-57,img02187.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231214_B20_long-anes_awake_000_TC_13-08-57/img02187.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231214_B20_long-anes_awake_000_TC_13-08-57/CollectedData_houlab.h5,10,most completely labeled frame in folder
F055,1,20231214_B20_long-anes_awake_000_TL_13-08-57,img02108.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231214_B20_long-anes_awake_000_TL_13-08-57/img02108.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231214_B20_long-anes_awake_000_TL_13-08-57/CollectedData_houlab.h5,12,most completely labeled frame in folder
